,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,8133946,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",6015300,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5248111,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,"Heat Waves","Glass Animals",4189285,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,MONEY,LISA,3913353,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
6,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",3836748,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
7,"Cold Heart - PNAU Remix","Elton John",3751381,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
8,Shivers,"Ed Sheeran",3644803,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"My Universe",Coldplay,3584918,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
10,"Bad Habits","Ed Sheeran",3408911,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,Pepas,Farruko,3362456,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12,Woman,"Doja Cat",3204340,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
13,"love nwantiti (ah ah ah)",CKay,2983852,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
14,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2875868,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
15,"THATS WHAT I WANT","Lil Nas X",2746374,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"good 4 u","Olivia Rodrigo",2704228,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
17,"Need to Know","Doja Cat",2599534,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
18,Beggin',Måneskin,2588810,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
19,"Life Goes On","Oliver Tree",2519855,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
20,"MONTERO (Call Me By Your Name)","Lil Nas X",2425235,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
21,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,2383060,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
22,"Happier Than Ever","Billie Eilish",2352112,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
23,"Kiss Me More (feat. SZA)","Doja Cat",2327111,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
24,"Meet Me At Our Spot","THE ANXIETY",2042570,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
25,traitor,"Olivia Rodrigo",1974823,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
26,"Levitating (feat. DaBaby)","Dua Lipa",1830812,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,Yonaguni,"Bad Bunny",1819958,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
28,"Blinding Lights","The Weeknd",1789450,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"Where Are You Now","Lost Frequencies",1780286,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
30,"Way 2 Sexy (with Future & Young Thug)",Drake,1767443,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
31,Ghost,"Justin Bieber",1694190,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
32,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1674740,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
33,"Todo De Ti","Rauw Alejandro",1643549,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
34,Volví,Aventura,1631882,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
35,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,1609911,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
36,"Sweater Weather","The Neighbourhood",1575707,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
37,"Take My Breath","The Weeknd",1568586,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
38,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1550931,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
39,Índigo,Camilo,1508657,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
40,"I Love You So","The Walters",1507543,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
41,"Don't Be Shy",Tiësto,1488615,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
42,"drivers license","Olivia Rodrigo",1472488,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
43,"Rolling in the Deep",Adele,1464631,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
44,"When We Were Young",Adele,1452446,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
45,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1427996,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
46,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1424474,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
47,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake",1417688,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
48,"Someone Like You",Adele,1406785,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
49,Nostálgico,Rvssian,1396579,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
50,"In Da Getto","J Balvin",1368074,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
51,"Fair Trade (with Travis Scott)",Drake,1357407,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
52,"I WANNA BE YOUR SLAVE",Måneskin,1319333,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
53,Butter,BTS,1309027,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
54,Bored,"Billie Eilish",1292100,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
55,"Love In The Dark",Adele,1272639,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
56,"Watermelon Sugar","Harry Styles",1271799,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
57,2055,"Sleepy Hallow",1252628,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
58,"Qué Más Pues?","J Balvin",1248776,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
59,"Don't Go Yet","Camila Cabello",1246787,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
60,"Get Into It (Yuh)","Doja Cat",1239633,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
61,LALISA,LISA,1224001,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
62,"Praise God","Kanye West",1218106,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
63,Sobrio,Maluma,1209555,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
64,"deja vu","Olivia Rodrigo",1201474,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
65,"Volando - Remix",Mora,1193685,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
66,"Ley Seca","Jhay Cortez",1190903,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
67,Cúrame,"Rauw Alejandro",1188887,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
68,"Leave The Door Open","Bruno Mars",1183056,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
69,"Let Somebody Go",Coldplay,1180830,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
70,Toxic,BoyWithUke,1180480,https://open.spotify.com/track/2kaNmAbqrtOf7Rdr3fnCWl
71,"The Feels",TWICE,1164257,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
72,"Someone You Loved","Lewis Capaldi",1152651,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Dark Red","Steve Lacy",1140220,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
74,"Happier Than Ever - Edit","Billie Eilish",1132190,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
75,DÁKITI,"Bad Bunny",1131912,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
76,"lovely (with Khalid)","Billie Eilish",1111199,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
77,Dynamite,BTS,1108513,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
78,WFM,Realestk,1095794,https://open.spotify.com/track/18ddJHQ7CUzNBiy55L0Xjj
79,happier,"Olivia Rodrigo",1075670,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
80,"You Right","Doja Cat",1073105,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
81,"edamame (feat. Rich Brian)",bbno$,1066518,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
82,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1060144,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
83,"Mood (feat. iann dior)",24kGoldn,1057231,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
84,Freaks,"Surf Curse",1053750,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
