Player name               Age        Height(cm)      Weight(kg)     
Michael Gbinije           25.0       200.66          90.72
Marquese Chriss           19.0       208.28          105.69
Malik Beasley             20.0       195.58          88.90
Malcolm Brogdon           24.0       195.58          97.52
Kay Felder                22.0       175.26          79.83
Juancho Hernangomez       21.0       205.74          104.33
Malachi Richardson        21.0       198.12          92.99
Kris Dunn                 23.0       193.04          92.99
Timothe Luwawu-Cabarrot   22.0       198.12          92.99
Thon Maker                20.0       215.9           101.15
Taurean Prince            23.0       203.2           99.79
Stephen Zimmerman         20.0       213.36          108.86
Wade Baldwin IV           21.0       193.04          91.63
Tyler Ulis                21.0       177.8           68.04
Pascal Siakam             23.0       205.74          104.33
Paul Zipser               23.0       203.2           95.25
Patrick McCaw             21.0       200.66          83.91
Skal Labissiere           21.0       210.82          102.06
Cheick Diallo             20.0       205.74          99.79
Caris LeVert              22.0       200.66          92.08
Buddy Hield               23.0       193.04          97.07
hinanu Onuaku            20.0       208.28          111.13
Damian Jones              22.0       213.36          111.13
Denzel Valentine          23.0       198.12          96.16
Demetrius Jackson         22.0       185.42          91.17
Dejounte Murray           20.0       195.58          77.11
DeAndre' Bembry           22.0       198.12          95.25
Brice Johnson             23.0       208.28          104.33
AJ Hammons                24.0       213.36          117.93
Brandon Ingram            19.0       205.74          86.18
Ben Bentil                22.0       205.74          106.59
Jaylen Brown              20.0       200.66          102.06
Jamal Murray              20.0       193.04          93.89
Jakob Poeltl              21.0       213.36          104.33
Jake Layman               23.0       205.74          95.25
Joel Bolomboy             23.0       205.74          106.59
Ivica Zubac               20.0       215.9           108.86
Dragan Bender             19.0       215.9           102.06
Domantas Sabonis          21.0       210.82          108.86
Diamond Stone             20.0       210.82          115.67
Deyonta Davis             20.0       208.28          108.86
Isaiah Whitehead          22.0       193.04          96.62
Henry Ellenson            20.0       210.82          111.13
Georgios Papagiannis      19.0       215.9           108.86
Georges Niang             24.0       203.2           104.33
Jake Layman               24.0       205.74          95.25
Jakob Poeltl              22.0       213.36          104.33
Jamal Murray              21.0       193.04          93.89
Jameel Warney             24.0       203.2           117.93
Jarrett Allen             20.0       210.82          106.14
Jawun Evans               21.0       182.88          86.18
Jaylen Brown              21.0       200.66          102.06
Guerschon Yabusele        22.0       203.2           117.93
Henry Ellenson            21.0       210.82          111.13
Ike Anigbogu              19.0       208.28          118.84
Isaiah Whitehead          23.0       193.04          96.62
Ivan Rabb                 21.0       208.28          99.79
Ivica Zubac               21.0       215.9           108.86
JaKarr Sampson            25.0       205.74          93.89
Jabari Bird               23.0       198.12          89.81
Jayson Tatum              20.0       203.2           92.99
Josh Hart                 23.0       195.58          97.52
Josh Jackson              21.0       203.2           90.72
Juancho Hernangomez       22.0       205.74          104.33
Justin Jackson            23.0       203.2           95.25
Justin Patton             21.0       213.36          107.05
Kadeem Allen              25.0       190.5           90.72
Kay Felder                23.0       175.26          79.83
Jordan Bell               23.0       205.74          101.60
Jonathan Isaac            20.0       208.28          95.25
Joel Bolomboy             24.0       205.74          106.59
John Collins              20.0       208.28          106.59
Damian Jones              23.0       213.36          111.13
Damyean Dotson            24.0       195.58          95.25
Daniel Hamilton           22.0       200.66          88.45
Davon Reed                23.0       198.12          95.25
De'Aaron Fox              20.0       190.5           79.38
DeAndre' Bembry           23.0       198.12          95.25
D.J. Wilson               22.0       208.28          107.05
Buddy Hield               25.0       193.04          97.07
Caleb Swanigan            21.0       203.2           113.40
Caris LeVert              23.0       200.66          92.08
Cheick Diallo             21.0       205.74          99.79
Chinanu Onuaku            21.0       208.28          111.13
Dejounte Murray           21.0       195.58          77.11
Edmond Sumner             22.0       195.58          85.28
Frank Mason               24.0       180.34          86.18
Frank Ntilikina           19.0       195.58          86.18
Furkan Korkmaz            20.0       200.66          86.18
Georges Niang             25.0       198.12          104.78
Georgios Papagiannis      20.0       215.9           108.86
Demetrius Jackson         23.0       185.42          91.17
Dennis Smith Jr.          20.0       190.5           88.45
Denzel Valentine          24.0       198.12          97.07
Derrick White             23.0       193.04          86.18
Deyonta Davis             21.0       210.82          107.50
Dillon Brooks             22.0       198.12          99.79
Domantas Sabonis          22.0       208.28          114.31
Donovan Mitchell          21.0       190.5           97.52
Dragan Bender             20.0       215.9           102.06
Dwayne Bacon              22.0       200.66          100.24
Semi Ojeleye              23.0       200.66          106.59
Sindarius Thornwell       23.0       195.58          97.52
Skal Labissiere           22.0       210.82          102.06
Sterling Brown            23.0       198.12          104.33
TJ Leaf                   21.0       208.28          104.33
Taurean Prince            24.0       203.2           99.79
Terrance Ferguson         20.0       200.66          83.46
Paul Zipser               24.0       203.2           102.51
Thon Maker                21.0       215.9           101.15
Wade Baldwin IV           22.0       193.04          91.63
Wes Iwundu                23.0       200.66          88.45
Tyrone Wallace            24.0       195.58          89.81
Zach Collins              20.0       213.36          104.33
Tyler Ulis                22.0       177.8           72.57
Timothe Luwawu-Cabarrot   23.0       198.12          90.72
Tony Bradley              20.0       208.28          112.49
Tyler Dorsey              22.0       195.58          83.01
Tyler Lydon               22.0       205.74          99.79
Thomas Bryant             20.0       208.28          112.49
Brice Johnson             24.0       208.28          104.33
Luke Kennard              22.0       195.58          90.72
Malachi Richardson        22.0       198.12          92.99
Malcolm Brogdon           25.0       195.58          97.52
Malik Beasley             21.0       195.58          88.90
Marcus Paige              24.0       182.88          74.39
Malik Monk                20.0       190.5           90.72
Lonzo Ball                20.0       198.12          86.18
Kris Dunn                 24.0       193.04          95.25
Kyle Kuzma                22.0       205.74          99.79
Lauri Markkanen           21.0       213.36          104.33
Markelle Fultz            20.0       193.04          90.72
Marquese Chriss           20.0       208.28          108.86
OG Anunoby                20.0       203.2           106.59
Pascal Siakam             24.0       205.74          104.33
Patrick McCaw             22.0       200.66          83.91
Maurice Harkless          25.0       205.74          99.79
Monte Morris              23.0       190.5           79.38
Zhou Qi                   22.0       215.9           95.25
Alec Peters               23.0       205.74          106.59
Abdel Nader               24.0       198.12          104.33
Brandon Ingram            20.0       205.74          86.18
Ante Zizic                21.0       210.82          113.40
Ben Simmons               21.0       208.28          104.33
Bam Adebayo               20.0       208.28          115.67
Miles Bridges             21.0       200.66          102.06
Mitchell Robinson         21.0       215.9           108.86
Mo Bamba                  21.0       213.36          100.24
Monte Morris              24.0       190.5           79.38
Mikal Bridges             22.0       200.66          95.25
Melvin Frazier Jr.        22.0       198.12          90.72
Maurice Harkless          26.0       205.74          99.79
Marvin Bagley III         20.0       210.82          106.14
Marquese Chriss           21.0       208.28          108.86
Moritz Wagner             22.0       210.82          111.13
Markelle Fultz            21.0       193.04          90.72
Patrick McCaw             23.0       200.66          83.91
Pascal Siakam             25.0       205.74          104.33
OG Anunoby                21.0       203.2           105.23
Omari Spellman            21.0       205.74          111.13
Kyle Kuzma                23.0       205.74          99.79
Kris Dunn                 25.0       193.04          92.99
Kostas Antetokounmpo      21.0       208.28          90.72
Khyri Thomas              23.0       190.5           95.25
Kevin Huerter             20.0       200.66          86.18
Keita Bates-Diop          23.0       205.74          103.87
Kevin Knox II             19.0       205.74          97.52
Malik Monk                21.0       190.5           90.72
Malik Beasley             22.0       195.58          88.45
Malcolm Brogdon           26.0       195.58          103.87
Malachi Richardson        23.0       198.12          92.99
Luke Kennard              23.0       195.58          93.44
Lonzo Ball                21.0       198.12          86.18
Lonnie Walker IV          20.0       195.58          92.99
Lauri Markkanen           22.0       213.36          108.86
Landry Shamet             22.0       195.58          85.28
Luka Doncic               20.0       200.66          98.88
Tyler Dorsey              23.0       195.58          83.01
Troy Brown Jr.            19.0       200.66          97.52
Trae Young                20.0       187.96          81.65
Tony Bradley              21.0       208.28          112.49
Timothe Luwawu-Cabarrot   24.0       198.12          95.25
Thon Maker                22.0       215.9           100.24
Tyler Lydon               23.0       208.28          102.06
Tyler Ulis                23.0       177.8           72.57
Zach Collins              21.0       213.36          106.59
Thomas Welsh              23.0       213.36          115.67
Wendell Carter Jr.        20.0       208.28          115.67
Wade Baldwin IV           23.0       193.04          90.72
Vincent Edwards           23.0       203.2           102.06
Tyrone Wallace            25.0       195.58          89.81
Wes Iwundu                24.0       200.66          88.45
Thomas Bryant             21.0       210.82          112.49
Robert Williams III       21.0       208.28          108.86
Ray Spalding              22.0       208.28          97.52
Rodions Kurucs            21.0       205.74          95.25
Semi Ojeleye              24.0       200.66          109.32
Terrance Ferguson         21.0       200.66          86.18
Taurean Prince            25.0       203.2           99.79
TJ Leaf                   22.0       208.28          102.06
Svi Mykhailiuk            22.0       203.2           92.99
Skal Labissiere           23.0       210.82          106.59
Sindarius Thornwell       24.0       195.58          97.52
Shake Milton              22.0       198.12          93.89
Shai Gilgeous-Alexander   20.0       198.12          82.10
Sterling Brown            24.0       198.12          105.23
Kadeem Allen              26.0       190.5           90.72
Abdel Nader               25.0       198.12          102.06
Aaron Holiday             22.0       185.42          83.91
Davon Reed                24.0       195.58          94.35
De'Aaron Fox              21.0       190.5           79.38
De'Anthony Melton         21.0       193.04          90.72
DeAndre' Bembry           24.0       198.12          95.25
Alize Johnson             23.0       205.74          96.16
Domantas Sabonis          23.0       210.82          108.86
Donovan Mitchell          22.0       190.5           97.52
Donte DiVincenzo          22.0       193.04          92.08
Dillon Brooks             23.0       198.12          99.79
Dragan Bender             21.0       215.9           102.06
Deyonta Davis             22.0       210.82          107.50
Devonte' Graham           24.0       187.96          83.91
Deandre Ayton             20.0       215.9           113.40
Demetrius Jackson         24.0       185.42          91.17
Dennis Smith Jr.          21.0       190.5           88.45
Derrick White             24.0       193.04          86.18
Anfernee Simons           20.0       193.04          83.91
Collin Sexton             20.0       187.96          86.18
Chimezie Metu             22.0       208.28          102.06
Chandler Hutchison        23.0       200.66          89.36
Cheick Diallo             22.0       205.74          99.79
Caris LeVert              24.0       200.66          92.53
Daniel Hamilton           23.0       200.66          88.45
Damyean Dotson            25.0       198.12          95.25
D.J. Wilson               23.0       208.28          104.78
Damian Jones              24.0       213.36          111.13
Caleb Swanigan            22.0       205.74          113.40
Ben Simmons               22.0       208.28          104.33
Bam Adebayo               21.0       208.28          115.67
Ante Zizic                22.0       210.82          115.21
Buddy Hield               26.0       193.04          97.07
Bruce Brown               22.0       195.58          91.63
Brandon Ingram            21.0       205.74          86.18
Dwayne Bacon              23.0       200.66          100.24
Jayson Tatum              21.0       203.2           94.35
Jaylen Brown              22.0       200.66          99.79
Jerome Robinson           22.0       195.58          86.18
Jevon Carter              23.0       187.96          88.90
Jamal Murray              22.0       193.04          93.89
Jawun Evans               22.0       182.88          86.18
Jaren Jackson Jr.         19.0       210.82          109.77
Jaron Blossomgame         25.0       203.2           99.79
Jarred Vanderbilt         20.0       205.74          97.07
Jarrett Allen             21.0       210.82          107.50
Josh Hart                 24.0       195.58          97.52
Josh Jackson              22.0       203.2           90.72
Josh Okogie               20.0       193.04          96.16
Justin Jackson            24.0       203.2           95.25
Justin Patton             22.0       213.36          109.32
Juancho Hernangomez       23.0       205.74          104.33
Jordan Bell               24.0       205.74          101.60
John Collins              21.0       208.28          106.59
Jonah Bolden              23.0       208.28          99.79
Jonathan Isaac            21.0       208.28          95.25
Jalen Brunson             22.0       190.5           86.18
Jakob Poeltl              23.0       213.36          104.33
Frank Mason               25.0       180.34          86.18
Frank Ntilikina           20.0       198.12          90.72
Furkan Korkmaz            21.0       200.66          86.18
George King               25.0       198.12          99.79
Georges Niang             26.0       203.2           104.33
Frank Jackson             21.0       190.5           92.99
Dzanan Musa               20.0       205.74          94.35
Edmond Sumner             23.0       198.12          79.83
